timestamp,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,ozone
1509490800,Clear,clear-night,0,0,38.95,38.95,36.81,0.92,1026.47,2.37,124,0.08,6.75,
1509494400,Clear,clear-night,0,0,38.46,36.27,36.34,0.92,1026.29,3.3,111,0.15,5.26,
1509498000,Clear,clear-night,0,0,37.87,35.88,36,0.93,1026.14,3.07,119,0.06,5.01,
1509501600,Clear,clear-night,0,0,37.55,37.55,35.71,0.93,1025.91,2.5,128,0.06,5.1,
1509505200,Clear,clear-night,0,0,36.84,36.84,35.01,0.93,1025.6,2.44,118,0.06,4.98,
1509508800,Clear,clear-night,0,0,36.41,36.41,35.29,0.96,1025.27,2.9,114,0.13,4.79,
1509512400,Clear,clear-night,0,0,36.43,34.13,35.4,0.96,1024.97,3.16,122,0.13,4.5,
1509516000,Clear,clear-night,0,0,36.26,33.15,35.38,0.97,1024.76,3.84,121,0.07,4.25,
1509519600,Clear,clear-day,0,0,37.34,37.34,36.2,0.96,1024.95,2.9,118,0.06,4.47,
1509523200,Clear,clear-day,0.0005,0.05,rain,41.4,39.24,38.96,0.91,1025.06,3.67,135,0.08,5.15,
1509526800,Partly Cloudy,partly-cloudy-day,0,0,45.67,43.58,40.68,0.83,1024.78,4.37,139,0.38,8.05,
1509530400,Partly Cloudy,partly-cloudy-day,0,0,49.97,48.53,42.11,0.74,1024.45,4.46,147,0.26,8.72,
1509534000,Partly Cloudy,partly-cloudy-day,0,0,54.04,54.04,42.01,0.64,1023.78,4.5,156,0.26,9.11,
1509537600,Partly Cloudy,partly-cloudy-day,0,0,56.06,56.06,41.9,0.59,1022.79,5.04,148,0.38,9.52,
1509541200,Partly Cloudy,partly-cloudy-day,0,0,57.58,57.58,42,0.56,1021.8,5.3,148,0.38,9.78,
1509544800,Partly Cloudy,partly-cloudy-day,0,0,57.13,57.13,42.88,0.59,1020.99,5.76,132,0.38,9.78,
